latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-5.125,-80.9013,351.1,1.1,1,2001-01-01,1609,Terra,MODIS,95,6.2,304.3,52.4,D,0
-5.1264,-80.8915,354.1,1.1,1,2001-01-01,1609,Terra,MODIS,96,6.2,305.3,60.4,D,0
-4.5326,-79.9663,324.7,1,1,2001-01-03,1557,Terra,MODIS,57,6.2,303.8,9.6,D,0
-5.1292,-80.9155,327.2,1,1,2001-01-03,1557,Terra,MODIS,60,6.2,304,7.5,D,0
-5.1305,-80.9062,334.4,1,1,2001-01-03,1557,Terra,MODIS,79,6.2,306.2,16.8,D,0
-5.1397,-80.9075,331.8,1,1,2001-01-03,1557,Terra,MODIS,75,6.2,305.1,13.3,D,0
-5.4581,-79.7502,328.8,1,1,2001-01-03,1557,Terra,MODIS,62,6.2,302,14.2,D,0
-6.6196,-79.8062,330.5,1,1,2001-01-03,1558,Terra,MODIS,77,6.2,304.5,10.7,D,0
-6.6673,-79.7306,329.2,1,1,2001-01-03,1558,Terra,MODIS,57,6.2,303.3,11.7,D,0
-6.7223,-79.6713,329.4,1,1,2001-01-03,1558,Terra,MODIS,59,6.2,300.4,14.4,D,0
-6.8033,-79.6187,323.9,1,1,2001-01-03,1558,Terra,MODIS,52,6.2,301.4,7.8,D,0
-9.1253,-78.1988,325.4,1.1,1.1,2001-01-03,1558,Terra,MODIS,43,6.2,302.2,9.1,D,0
-7.2513,-75.054,313,1.1,1,2001-01-05,1545,Terra,MODIS,69,6.2,290.9,8.4,D,0
-6.7404,-79.6609,322.4,1.2,1.1,2001-01-05,1545,Terra,MODIS,50,6.2,297.9,10,D,0
-4.43,-80.2999,327.3,1.4,1.2,2001-01-08,1615,Terra,MODIS,79,6.2,302.7,19,D,0
-6.6911,-76.5501,323.6,3,1.6,2001-01-08,1616,Terra,MODIS,78,6.2,278.4,94.9,D,0
-3.0919,-76.4386,320.8,1.5,1.2,2001-01-10,1602,Terra,MODIS,69,6.2,290.2,28,D,0
-5.1796,-78.9833,323.5,1.1,1.1,2001-01-10,1603,Terra,MODIS,80,6.2,296.7,19.5,D,0
-5.375,-78.464,310,1.2,1.1,2001-01-10,1603,Terra,MODIS,56,6.2,292.3,7.4,D,0
-6.5496,-77.2149,305.3,1.5,1.2,2001-01-10,1603,Terra,MODIS,24,6.2,286.8,8.2,D,0
